contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
wso2-jenkins-bot,bot,-0.095885506122102,1.1006717032402686,40.0,115.0,91.0,299,30T,48.0,376
ADmad,human,-0.05199656617996484,1.8441470872826644,37.0,131.0,128.0,300,3H,8.0,419
Bernardo-MG,human,-0.47053516598021905,1.1123464168622046,,,,300,1H,24.0,313
Gerrit0,human,0.0229972365380281,2.0298951421120672,0.0,15.0,24.0,296,4H,6.0,467
Kikobeats,human,-0.1463625782141169,1.0039656847351761,,,,299,30T,48.0,577
Kukks,human,0.05630314542626691,0.49757442897433646,-481.0,,,293,1H,24.0,843
LukeTowers,human,-3.2756476307811484,9.088227956149938,19.0,31.0,292.0,294,3H,8.0,448
NathanWalker,human,0.0365320625685821,1.1455361618058275,-52.0,-69.0,,294,2H,12.0,547
Rotzbua,human,-0.7617395533058398,0.9081974402769829,,,,299,1H,24.0,750
StevenMaude,human,-0.026540302808058414,0.8599954114037632,,,,296,1H,24.0,634
Stranger6667,human,-1.4636600445590822,1.4733197563141955,87.0,599.0,1159.0,300,1H,24.0,767
ababic,human,0.032510084090149216,0.8235676116022078,-290.0,,,300,1H,24.0,727
achingbrain,human,-36.3703778330084,10.896603249749546,,,,299,30T,48.0,389
adamhsparks,human,0.31772210788134003,0.5329253199056143,-237.0,,,296,1H,24.0,718
alanhamlett,human,0.01646515005327842,1.6489169588769979,-53.0,-72.0,,298,2H,12.0,498
alexanderbez,human,0.02755894997528474,1.2836424078603752,65.0,56.0,79.0,300,1H,24.0,476
althonos,human,-0.17108461560826504,0.6837386625210596,,,,299,2H,12.0,575
am-kantox,human,-0.0699221298845134,1.577115826773891,-5.0,51.0,84.0,297,4H,6.0,468
andreubotella,human,-0.034550510902098264,0.9965886043125783,,,,299,3H,8.0,473
anthrotype,human,-0.26350100479907446,0.8333978459696231,149.0,242.0,424.0,298,30T,48.0,398
antonmedv,human,-0.018622280692527138,0.5299660728916931,-119.0,,,300,1H,24.0,850
azat,human,-0.21178487153481496,0.7302669529151101,,,,297,1H,24.0,555
bendrucker,human,-0.014740472389710213,1.3980321396684892,-61.0,-38.0,172.0,290,2H,12.0,468
betatim,human,0.015454433237327758,0.40401463472650123,143.0,383.0,478.0,298,1H,24.0,866
bluca,human,-0.23579349392343052,0.8634475719353469,,,,298,30T,48.0,462
bradymholt,human,-0.8767255336358506,2.8112208173341187,-5.0,166.0,396.0,277,3H,8.0,439
cboettig,human,-2.0330344450330373,1.2663314231287846,323.0,597.0,996.0,299,1H,24.0,845
cchantep,human,0.06697436550877256,0.9583346081097281,-192.0,,,279,2H,12.0,481
cdepillabout,human,-0.04119073517353411,0.9617627269969896,,,,297,4H,6.0,410
chalin,human,-86.8181589574858,9.569192284886167,537.0,647.0,1290.0,297,30T,48.0,335
codebytere,human,0.010597637244353586,1.7726824026919126,87.0,30.0,-1.0,296,1H,24.0,670
daffl,human,-0.17448882728055848,1.0205990481993505,287.0,519.0,705.0,300,1H,24.0,728
dantleech,human,-0.019088528267926286,1.1803742947571996,,,,295,1H,24.0,784
darrachequesne,human,-3.523276688841616,1.9132296896128365,159.0,406.0,1229.0,299,1H,24.0,721
davidv1992,human,0.05451511097585271,1.529005210619732,73.0,226.0,252.0,293,2H,12.0,589
dbaeumer,human,0.11994652284088925,0.626890411992646,-40.0,46.0,44.0,295,1H,24.0,674
dbu,human,-0.05081312815100203,0.7308386511039614,307.0,63.0,,300,1H,24.0,553
dbwiddis,human,0.04745049318037131,0.8228845633088742,-38.0,-13.0,,300,30T,48.0,551
dereuromark,human,-0.3835899713486728,0.6593399391624261,,,,298,1H,24.0,635
dmage,human,-5.60028516677629,3.817352032029495,141.0,262.0,418.0,299,3H,8.0,432
dpvc,human,-0.2963359791235822,0.9598816608512925,120.0,182.0,556.0,299,1H,24.0,791
